label	condition	replicate
PLK057_EXPL_210726_01_4uL_DIA_150M_120G	A	1
PLK057_EXPL_210726_02_4uL_DIA_150M_120G	A	2
PLK057_EXPL_210726_03_4uL_DIA_150M_120G	A	3
PLK057_EXPL_210726_04_4uL_DIA_150M_120G	A	4
PLK057_EXPL_210726_05_4uL_DIA_150M_120G	A	5
PLK057_EXPL_210726_06_4uL_DIA_150M_120G	A	6
PLK057_EXPL_210726_07_4uL_DIA_150M_120G	A	7
PLK057_EXPL_210726_08_4uL_DIA_150M_120G	A	8
PLK057_EXPL_210726_09_4uL_DIA_150M_120G	A	9
PLK057_EXPL_210726_10_4uL_DIA_150M_120G	A	10
PLK057_EXPL_210726_11_4uL_DIA_150M_120G	A	11
PLK057_EXPL_210726_12_4uL_DIA_150M_120G	A	12
PLK057_EXPL_210726_13_4uL_DIA_150M_120G	B	1
PLK057_EXPL_210726_14_4uL_DIA_150M_120G	B	2
PLK057_EXPL_210726_15_4uL_DIA_150M_120G	B	3
PLK057_EXPL_210726_16_4uL_DIA_150M_120G	B	4
PLK057_EXPL_210726_17_4uL_DIA_150M_120G	B	5
PLK057_EXPL_210726_18_4uL_DIA_150M_120G	B	6
PLK057_EXPL_210726_19_4uL_DIA_150M_120G	B	7
PLK057_EXPL_210726_20_4uL_DIA_150M_120G	B	8
PLK057_EXPL_210726_21_4uL_DIA_150M_120G	B	9
PLK057_EXPL_210726_22_4uL_DIA_150M_120G	B	10
PLK057_EXPL_210726_23_4uL_DIA_150M_120G	B	11
PLK057_EXPL_210726_24_4uL_DIA_150M_120G	B	12
